food_id,food_name,energy_kcal,protein_g,fat_g,carb_g
F085,Macaroni Cooked,140,5.0,1.0,25.0
F086,Pancake,227,6.0,10.0,28.0
F087,Waffle,291,7.5,14.0,35.0
F088,Cornflakes,357,8.0,2.0,84.0
F089,Granola,471,11.0,20.0,64.0
F090,Cereal Chocolate,395,7.0,12.0,72.0
F091,French Fries,312,3.4,15.0,41.0
F092,Mashed Potato,140,2.6,4.0,21.0
F093,Fried Rice,250,5.5,8.0,40.0
F094,Soup Vegetable,80,3.0,1.0,12.0
F095,Fried Banana,252,2.7,14.0,30.0
F096,Fish Nugget,276,14.0,17.0,19.0
F097,Chicken Nugget,296,16.0,20.0,18.0
F098,Beef Sausage,301,12.0,25.0,5.0
F099,Fish Ball,77,10.0,1.1,5.0
F100,Chicken Ball,95,11.0,3.2,6.0
F101,Pudding Chocolate,130,3.5,3.0,25.0
F102,Pudding Vanilla,115,2.8,2.5,22.0
F103,Ice Tea Sweet,80,0.0,0.0,20.0
F104,Milk Tea,110,1.5,3.0,18.0
F105,Coffee Milk,150,3.0,5.0,23.0
F106,Smoothie Banana,210,5.0,3.0,45.0
F107,Smoothie Strawberry,190,4.0,2.0,40.0
F108,Smoothie Mango,200,4.0,1.5,43.0
F109,Fish Grilled,150,26.0,5.0,0.0
F110,Chicken Grilled,175,28.0,8.0,0.0
F111,Beef Grilled,280,25.0,18.0,0.0
F112,Shrimp Fried,242,22.0,15.5,6.0
F113,Crab Fried,260,17.0,12.0,15.0
F114,Squid Fried,290,20.0,18.0,10.0
F115,Vegetable Stir Fry,120,3.0,5.0,18.0
F116,Tofu Stir Fry,180,12.0,10.0,12.0
F117,Tempe Stir Fry,210,14.0,11.0,15.0
F118,Chicken Curry,320,18.0,22.0,12.0
F119,Beef Curry,340,20.0,25.0,10.0
F120,Vegetable Curry,150,4.0,6.0,20.0
